url,page_class,primary_keyword,evidence,measured_keyword,monthly_volume,volume_source,h1,title
"https://takemocktest.com/in","country home","free online mock test","GSC-observed","","","","Free Online Mock Tests for Competitive Exams in India","Free Mock Tests for Competitive Exams in India"
"https://takemocktest.com/in/exams","exam directory","competitive exams list","Reasoned, not yet SERP-checked","","","","Find an exam by name or goal","All Exams in India: Browse Mock Tests by Goal | TakeMockTest"
"https://takemocktest.com/in/exam-updates","updates index","latest exam notifications, admit cards and results","Reasoned, not yet SERP-checked","","","","Latest exam notifications, admit cards and results","Latest Exam Notifications, Admit Cards & Results"
"https://takemocktest.com/in/logical-reasoning","reasoning hub","logical reasoning questions","Reasoned, not yet SERP-checked","","","","Logical Reasoning Practice 2026","Logical Reasoning Practice 2026: Free Graded Tests"
"https://takemocktest.com/in/practice","topic practice index","topic wise practice questions","Reasoned, not yet SERP-checked","","","","Topic-wise Practice Questions 2026","Topic-wise Practice Questions 2026: Free Tests"
"https://takemocktest.com/in/practice/percentage","topic practice","percentage questions with answers","Reasoned, not yet SERP-checked","","","","Percentage Questions with Answers","Percentage Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/profit-and-loss","topic practice","profit and loss questions with answers","Reasoned, not yet SERP-checked","","","","Profit and Loss Questions with Answers","Profit and Loss Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/ratio-and-proportion","topic practice","ratio and proportion questions with answers","Reasoned, not yet SERP-checked","","","","Ratio and Proportion Questions with Answers","Ratio and Proportion Questions with Answers 2026"
"https://takemocktest.com/in/practice/time-and-work","topic practice","time and work questions with answers","Reasoned, not yet SERP-checked","","","","Time and Work Questions with Answers","Time and Work Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/time-speed-and-distance","topic practice","time, speed and distance questions with answers","Reasoned, not yet SERP-checked","","","","Time, Speed and Distance Questions with Answers","Time, Speed and Distance Questions with Answers 2026"
"https://takemocktest.com/in/practice/averages","topic practice","averages questions with answers","Reasoned, not yet SERP-checked","","","","Averages Questions with Answers","Averages Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/simple-interest","topic practice","simple interest questions with answers","Reasoned, not yet SERP-checked","","","","Simple Interest Questions with Answers","Simple Interest Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/compound-interest","topic practice","compound interest questions with answers","Reasoned, not yet SERP-checked","","","","Compound Interest Questions with Answers","Compound Interest Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/number-system","topic practice","number system questions with answers","Reasoned, not yet SERP-checked","","","","Number System Questions with Answers","Number System Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/simplification","topic practice","simplification questions with answers","Reasoned, not yet SERP-checked","","","","Simplification Questions with Answers","Simplification Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/mensuration","topic practice","mensuration questions with answers","Reasoned, not yet SERP-checked","","","","Mensuration Questions with Answers","Mensuration Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/data-interpretation","topic practice","data interpretation questions with answers","Reasoned, not yet SERP-checked","","","","Data Interpretation Questions with Answers","Data Interpretation Questions with Answers 2026"
"https://takemocktest.com/in/practice/probability","topic practice","probability questions with answers","Reasoned, not yet SERP-checked","","","","Probability Questions with Answers","Probability Questions with Answers 2026 | TakeMockTest"
"https://takemocktest.com/in/practice/permutations-and-combinations","topic practice","permutations and combinations questions with answers","Reasoned, not yet SERP-checked","","","","Permutations and Combinations Questions with Answers","Permutations and Combinations Questions with Answers 2026"
"https://takemocktest.com/in/practice/number-series","topic practice","number series questions with answers","Reasoned, not yet SERP-checked","","","","Number Series Questions with Answers","Number Series Questions with Answers 2026 | TakeMockTest"
